t,0.000000,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000,1.050000,1.100000,1.150000,1.200000,1.250000,1.300000,1.350000,1.400000,1.450000,1.500000,1.550000,1.600000,1.650000,1.700000,1.750000,1.800000,1.850000,1.900000,1.950000,2.000000,2.050000,2.100000,2.150000,2.200000,2.250000,2.300000,2.350000,2.400000,2.450000,2.500000,2.550000,2.600000,2.650000,2.700000,2.750000,2.800000,2.850000,2.900000,2.950000,3.000000,3.050000,3.100000,3.150000,3.200000,3.250000,3.300000,3.350000,3.400000,3.450000,3.500000,3.550000,3.600000,3.650000,3.700000,3.750000,3.800000,3.850000,3.900000,3.950000,4.000000,4.050000,4.100000,4.150000,4.200000,4.250000,4.300000,4.350000,4.400000,4.450000,4.500000,4.550000,4.600000,4.650000,4.700000,4.750000,4.800000,4.850000,4.900000,4.950000,5.000000,5.050000,5.100000,5.150000,5.200000,5.250000,5.300000,5.350000,5.400000,5.450000,5.500000,5.550000,5.600000,5.650000,5.700000,5.750000,5.800000,5.850000,5.900000,5.950000,6.000000,6.050000,6.100000,6.150000,6.200000,6.250000,6.300000,6.350000,6.400000,6.450000,6.500000,6.550000,6.600000,6.650000,6.700000,6.750000,6.800000,6.850000,6.900000,6.950000,7.000000,7.050000,7.100000,7.150000,7.200000,7.250000,7.300000,7.350000,7.400000,7.450000,7.500000,7.550000,7.600000,7.650000,7.700000,7.750000,7.800000,7.850000,7.900000,7.950000,8.000000,8.050000,8.100000,8.150000,8.200000,8.250000,8.300000,8.350000,8.400000,8.450000,8.500000,8.550000,8.600000,8.650000,8.700000,8.750000,8.800000,8.850000,8.900000,8.950000,9.000000,9.050000,9.100000,9.150000,9.200000,9.250000,9.300000,9.350000,9.400000,9.450000,9.500000,9.550000,9.600000,9.650000,9.700000,9.750000,9.800000,9.850000,9.900000,9.950000,10.000000,10.050000,10.100000,10.150000,10.200000,10.250000,10.300000,10.350000,10.400000,10.450000,10.500000,10.550000,10.600000,10.650000,10.700000,10.750000,10.800000,10.850000,10.900000,10.950000,11.000000,11.050000,11.100000,11.150000,11.200000,11.250000,11.300000,11.350000,11.400000,11.450000,11.500000,11.550000,11.600000,11.650000,11.700000,11.750000,11.800000,11.850000,11.900000,11.950000,12.000000,12.050000,12.100000,12.150000,12.200000,12.250000,12.300000,12.350000,12.400000,12.450000,12.500000,12.550000,12.600000,12.650000,12.700000,12.750000,12.800000,12.850000,12.900000,12.950000,13.000000,13.050000,13.100000,13.150000,13.200000,13.250000,13.300000,13.350000,13.400000,13.450000,13.500000,13.550000,13.600000,13.650000,13.700000,13.750000,13.800000,13.850000,13.900000,13.950000,14.000000,14.050000,14.100000,14.150000,14.200000,14.250000,14.300000,14.350000,14.400000,14.450000,14.500000,14.550000,14.600000,14.650000,14.700000,14.750000,14.800000,14.850000,14.900000,14.950000,15.000000,15.050000,15.100000,15.150000,15.200000,15.250000,15.300000,15.350000,15.400000,15.450000,15.500000,15.550000,15.600000,15.650000,15.700000,15.750000,15.800000,15.850000,15.900000,15.950000,16.000000,16.050000,16.100000,16.150000,16.200000,16.250000,16.300000,16.350000,16.400000,16.450000,16.500000,16.550000,16.600000,16.650000,16.700000,16.750000,16.800000,16.850000,16.900000,16.950000,17.000000,17.050000,17.100000,17.150000,17.200000,17.250000,17.300000,17.350000,17.400000,17.450000,17.500000,17.550000,17.600000,17.650000,17.700000,17.750000,17.800000,17.850000,17.900000,17.950000,18.000000,18.050000,18.100000,18.150000,18.200000,18.250000,18.300000,18.350000,18.400000,18.450000,18.500000,18.550000,18.600000,18.650000,18.700000,18.750000,18.800000,18.850000,18.900000,18.950000,19.000000,19.050000,19.100000,19.150000,19.200000,19.250000,19.300000,19.350000,19.400000,19.450000,19.500000,19.550000,19.600000,19.650000,19.700000,19.750000,19.800000,19.850000,19.900000,19.950000,20.000000,
omega x,3.062455,3.114203,3.155089,3.184999,3.203857,3.211625,3.208301,3.193923,3.168562,3.132324,3.085352,3.027818,2.959929,2.881921,2.794060,2.696643,2.589990,2.474451,2.350401,2.218237,2.078380,1.931274,1.777382,1.617187,1.451191,1.279913,1.103887,0.923665,0.739811,0.552902,0.363527,0.172286,-0.020212,-0.213351,-0.406505,-0.599044,-0.790335,-0.979739,-1.166619,-1.350335,-1.530250,-1.705730,-1.876147,-2.040878,-2.199309,-2.350840,-2.494879,-2.630854,-2.758207,-2.876401,-2.984923,-3.083282,-3.171016,-3.247694,-3.312915,-3.366317,-3.407574,-3.436399,-3.452553,-3.455838,-3.446106,-3.423259,-3.387251,-3.338090,-3.275838,-3.200616,-3.112600,-3.012023,-2.899179,-2.774416,-2.638143,-2.490820,-2.332965,-2.165146,-1.987982,-1.802139,-1.608325,-1.407292,-1.199826,-0.986744,-0.768894,-0.547145,-0.322386,-0.095518,0.132548,0.360896,0.588614,0.814795,1.038540,1.258968,1.475217,1.686447,1.891845,2.090631,2.282057,2.465412,2.640024,2.805264,2.960544,3.105323,3.239106,3.361443,3.471936,3.570231,3.656024,3.729062,3.789136,3.836086,3.869801,3.890212,3.897300,3.891087,3.871638,3.839060,3.793503,3.735151,3.664232,3.581005,3.485766,3.378844,3.260603,3.131433,2.991756,2.842021,2.682706,2.514311,2.337363,2.152408,1.960018,1.760783,1.555312,1.344234,1.128192,0.907849,0.683877,0.456968,0.227821,-0.002850,-0.234323,-0.465866,-0.696741,-0.926203,-1.153500,-1.377880,-1.598588,-1.814869,-2.025968,-2.231137,-2.429631,-2.620714,-2.803659,-2.977754,-3.142301,-3.296618,-3.440048,-3.571954,-3.691729,-3.798795,-3.892608,-3.972661,-4.038490,-4.089674,-4.125838,-4.146661,-4.151877,-4.141278,-4.114717,-4.072110,-4.013443,-3.938768,-3.848211,-3.741968,-3.620310,-3.483583,-3.332204,-3.166666,-2.987533,-2.795439,-2.591087,-2.375242,-2.148733,-1.912443,-1.667309,-1.414313,-1.154481,-0.888870,-0.618569,-0.344689,-0.068357,0.209292,0.487119,0.763989,1.038777,1.310374,1.577695,1.839680,2.095303,2.343575,2.583548,2.814323,3.035045,3.244914,3.443183,3.629163,3.802220,3.961782,4.107335,4.238425,4.354659,4.455702,4.541282,4.611182,4.665243,4.703364,4.725498,4.731649,4.721875,4.696285,4.655033,4.598322,4.526397,4.439548,4.338105,4.222435,4.092946,3.950077,3.794305,3.626135,3.446104,3.254780,3.052756,2.840651,2.619110,2.388800,2.150412,1.904656,1.652262,1.393981,1.130579,0.862841,0.591564,0.317564,0.041667,-0.235288,-0.512449,-0.788956,-1.063939,-1.336521,-1.605818,-1.870943,-2.131006,-2.385114,-2.632377,-2.871907,-3.102822,-3.324248,-3.535321,-3.735192,-3.923029,-4.098019,-4.259374,-4.406335,-4.538175,-4.654203,-4.753770,-4.836274,-4.901161,-4.947936,-4.976162,-4.985470,-4.975559,-4.946204,-4.897260,-4.828664,-4.740441,-4.632706,-4.505666,-4.359622,-4.194973,-4.012212,-3.811929,-3.594807,-3.361622,-3.113239,-2.850610,-2.574763,-2.286804,-1.987907,-1.679305,-1.362286,-1.038183,-0.708365,-0.374229,-0.037190,0.301326,0.639894,0.977094,1.311527,1.641816,1.966616,2.284623,2.594577,2.895272,3.185558,3.464346,3.730614,3.983408,4.221846,4.445118,4.652490,4.843303,5.016973,5.172994,5.310932,5.430428,5.531196,5.613021,5.675756,5.719323,5.743705,5.748951,5.735168,5.702522,5.651231,5.581569,5.493858,5.388465,5.265807,5.126339,4.970560,4.799004,4.612243,4.410882,4.195561,3.966947,3.725738,3.472658,3.208461,2.933919,2.649834,2.357026,2.056338,1.748633,1.434793,1.115719,0.792330,0.465559,0.136359,-0.194305,-0.525452,-0.856090,-1.185212,-1.511801,-1.834830,-2.153264,-2.466059,-2.772167,-3.070535,-3.360110,-3.639839,-3.908672,-4.165567,-4.409491,-4.639423,-4.854363,-5.053330,-5.235371,-5.399565,-5.545028,-5.670920,-5.776450,-5.860885,-5.923552,-5.963851,-5.981255,-5.975324,-5.945707,-5.892151,-5.814506,-5.712730,-5.586898,-5.437202,-5.263957,-5.067603,-4.848706,-4.607959,-4.346180,-4.064311,-3.763413,-3.444661,-3.109338,-2.758829,-2.394608,-2.018232,-1.631328,-1.235583,-0.832731,-0.424541,-0.012804,0.400677,0.814106,
omega y,0.826492,0.649565,0.469810,0.287824,0.104207,-0.080437,-0.265504,-0.450390,-0.634493,-0.817214,-0.997958,-1.176137,-1.351168,-1.522479,-1.689506,-1.851694,-2.008504,-2.159407,-2.303889,-2.441453,-2.571619,-2.693922,-2.807921,-2.913192,-3.009335,-3.095974,-3.172756,-3.239355,-3.295473,-3.340839,-3.375214,-3.398391,-3.410193,-3.410480,-3.399147,-3.376125,-3.341384,-3.294933,-3.236821,-3.167137,-3.086015,-2.993630,-2.890200,-2.775989,-2.651304,-2.516497,-2.371963,-2.218142,-2.055517,-1.884613,-1.705999,-1.520280,-1.328102,-1.130146,-0.927129,-0.719797,-0.508926,-0.295316,-0.079792,0.136806,0.353623,0.569792,0.784443,0.996703,1.205703,1.410581,1.610489,1.804596,1.992093,2.172197,2.344156,2.507254,2.660813,2.804197,2.936818,3.058134,3.167656,3.264948,3.349629,3.421375,3.479921,3.525056,3.556631,3.574554,3.578790,3.569359,3.546339,3.509859,3.460101,3.397296,3.321722,3.233705,3.133610,3.021843,2.898850,2.765108,2.621129,2.467453,2.304646,2.133302,1.954032,1.767469,1.574263,1.375078,1.170590,0.961487,0.748464,0.532224,0.313473,0.092921,-0.128720,-0.350739,-0.572427,-0.793076,-1.011986,-1.228460,-1.441809,-1.651353,-1.856421,-2.056354,-2.250503,-2.438234,-2.618930,-2.791986,-2.956817,-3.112856,-3.259556,-3.396391,-3.522860,-3.638485,-3.742812,-3.835418,-3.915908,-3.983916,-4.039111,-4.081195,-4.109905,-4.125017,-4.126345,-4.113746,-4.087119,-4.046405,-3.991596,-3.922726,-3.839884,-3.743204,-3.632877,-3.509142,-3.372295,-3.222686,-3.060719,-2.886853,-2.701604,-2.505541,-2.299288,-2.083521,-1.858969,-1.626409,-1.386667,-1.140612,-0.889156,-0.633250,-0.373878,-0.112052,0.151186,0.414779,0.677652,0.938723,1.196905,1.451117,1.700284,1.943349,2.179277,2.407059,2.625721,2.834331,3.032000,3.217890,3.391219,3.551266,3.697371,3.828941,3.945455,4.046462,4.131582,4.200512,4.253022,4.288955,4.308229,4.310832,4.296824,4.266331,4.219548,4.156729,4.078190,3.984304,3.875495,3.752238,3.615055,3.464510,3.301204,3.125777,2.938899,2.741267,2.533608,2.316668,2.091212,1.858026,1.617904,1.371657,1.120101,0.864062,0.604371,0.341859,0.077361,-0.188289,-0.454259,-0.719720,-0.983850,-1.245829,-1.504850,-1.760109,-2.010817,-2.256194,-2.495471,-2.727895,-2.952727,-3.169244,-3.376740,-3.574529,-3.761945,-3.938341,-4.103097,-4.255614,-4.395323,-4.521679,-4.634171,-4.732317,-4.815669,-4.883816,-4.936383,-4.973037,-4.993485,-4.997481,-4.984824,-4.955362,-4.908996,-4.845678,-4.765418,-4.668284,-4.554403,-4.423966,-4.277225,-4.114501,-3.936180,-3.742717,-3.534634,-3.312525,-3.077052,-2.828947,-2.569009,-2.298104,-2.017166,-1.727188,-1.429226,-1.124389,-0.813840,-0.498790,-0.180488,0.139777,0.460690,0.780913,1.099094,1.413874,1.723895,2.027810,2.324291,2.612037,2.889781,3.156302,3.410431,3.651056,3.877134,4.087693,4.281842,4.458772,4.617761,4.758179,4.879491,4.981253,5.063122,5.124846,5.166271,5.187335,5.188066,5.168582,5.129084,5.069853,4.991248,4.893698,4.777701,4.643816,4.492658,4.324898,4.141251,3.942476,3.729370,3.502763,3.263517,3.012517,2.750670,2.478902,2.198153,1.909376,1.613532,1.311590,1.004523,0.693306,0.378913,0.062319,-0.255506,-0.573596,-0.890990,-1.206736,-1.519888,-1.829511,-2.134681,-2.434484,-2.728019,-3.014399,-3.292753,-3.562223,-3.821970,-4.071173,-4.309030,-4.534760,-4.747605,-4.946829,-5.131724,-5.301607,-5.455827,-5.593761,-5.714823,-5.818459,-5.904156,-5.971442,-6.019885,-6.049103,-6.058761,-6.048577,-6.018323,-5.967831,-5.896993,-5.805765,-5.694174,-5.562313,-5.410353,-5.238541,-5.047201,-4.836741,-4.607654,-4.360516,-4.095994,-3.814839,-3.517896,-3.206093,-2.880450,-2.542072,-2.192147,-1.831945,-1.462813,-1.086169,-0.703497,-0.316341,0.073702,0.464993,0.855859,1.244602,1.629510,2.008869,2.380975,2.744143,3.096723,3.437107,3.763746,4.075156,4.369933,4.646759,4.904413,5.141779,5.357853,5.551745,5.722689,5.870041,5.993283,6.092023,6.165993,6.215048,6.239165,6.238433,6.213055,
omega z,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,
